"-- Please Select --","-- Por Favor Seleccione --"
"Columns","Columnas"
"Set Websafe Fonts on H3 Heading","Establecer fuentes web seguras en el encabezado H3"
"Set the font size for H3 heading.","Establecer el tamaño de fuente para el encabezado H3."
"Set font style for H3 heading.","Establecer el estilo de fuente para el encabezado H3."
"Set line height for H3 heading.","Establecer la altura de línea para el encabezado H3."
"Set letter-spacing for H3 heading.","Establecer el espaciado entre letras para el encabezado H3."
"Set the text color for Paragraph. Example: #303030","Establecer el color del texto para el párrafo. Ejemplo: #303030"
"Enable/Disable Google Fonts on Paragraph.","Habilitar/Deshabilitar Google Fonts en el párrafo."
"Set Websafe Fonts on Paragraph","Establecer fuentes web seguras en el párrafo"
"Set the font size for Paragraph.","Establecer el tamaño de fuente para el párrafo."
"Set font style for Paragraph.","Establecer el estilo de fuente para el párrafo."
"Set line height for Paragraph.","Establecer la altura de línea para el párrafo."
"Set letter-spacing for Paragraph.","Establecer el espaciado entre letras para el párrafo."
"Set the text color for Buttons. Example: #303030","Establecer el color del texto para los botones. Ejemplo: #303030"
"Set the background color for Buttons. Example: #303030","Establecer el color de fondo para los botones. Ejemplo: #303030"
"Set the border color for Buttons. Example: #303030","Establecer el color del borde para los botones. Ejemplo: #303030"
"Set the text color for Buttons. Example: #303030","Establecer el color del texto para los botones. Ejemplo: #303030"
"Set the background color for Buttons. Example: #303030","Establecer el color de fondo para los botones. Ejemplo: #303030"
"Set the border color for Buttons. Example: #303030","Establecer el color del borde para los botones. Ejemplo: #303030"
"Set the text color for the Email Body Comment section (eg. order/invoice comments). Example: #303030","Establecer el color del texto para la sección de comentarios del cuerpo del correo electrónico (por ejemplo, comentarios de pedidos/facturas). Ejemplo: #303030"
"Set the background color for the Email body Comment Section (eg. order/invoice comments). Example: #303030","Establecer el color de fondo para la sección de comentarios del cuerpo del correo electrónico (por ejemplo, comentarios de pedidos/facturas). Ejemplo: #303030"
"Enable Layered Navigation","Habilitar navegación por capas"
"Enable Ajax","Habilitar Ajax"
"Scroll to top after Ajax load","Desplazarse al inicio después de la carga Ajax"
"Sidebar Settings","Configuración de la barra lateral"
"Sidebar Style","Estilo de la barra lateral"
"Columns No.","Número de columnas"
"Horizontal Design Version","Versión del diseño horizontal"
"Filter Alignment","Alineación del filtro"
"Enable Sticky Filters","Habilitar filtros fijos"
"Display Selected Filters","Mostrar filtros seleccionados"
"If set to ""Yes"", filters that have been selected will be displayed under the Layered Navigation. </br>
                        If set to ""No"", the user will not see the filters they select, and only a ""Clear All"" button will be shown.","Si se establece en ""Sí"", los filtros seleccionados se mostrarán debajo de la navegación por capas. </br> Si se establece en ""No"", el usuario no verá los filtros seleccionados y solo se mostrará un botón ""Borrar todo""."
"Display Multiselect Attributes Selected Options Counter","Mostrar contador de opciones seleccionadas en atributos de selección múltiple"
"Filter Box Height","Altura del cuadro de filtro"
"Box Shadow","Sombra del cuadro"
"Enable to display a shadow for the Layered Navigation Slide Down box.","Habilitar para mostrar una sombra en el cuadro desplegable de navegación por capas."
"Filter Button Color","Color del botón de filtro"
"Filter Button Text Color","Color del texto del botón de filtro"
"Filter Button Hover Color","Color del botón de filtro al pasar el cursor"
"Filter Button Hover Text Color","Color del texto del botón de filtro al pasar el cursor"
"Border","Borde"
"Border Color","Color del borde"
"Border Radius","Radio del borde"
"Filter Column Height","Altura de la columna del filtro"
"Allow customer to show/hide Layered Navigation","Permitir al cliente mostrar/ocultar la navegación por capas"
"Filters default state","Estado predeterminado de los filtros"
"Show Compare Products block","Mostrar bloque de comparación de productos"
"Show/Hide Compare Products block from Sidebar Style - Default.","Mostrar/Ocultar bloque de comparación de productos en el estilo de barra lateral - Predeterminado."
"Show Wish List block","Mostrar bloque de lista de deseos"
"Show/Hide Wish List block from Sidebar Style - Default.","Mostrar/Ocultar bloque de lista de deseos en el estilo de barra lateral - Predeterminado."
"Show Recently Ordered block","Mostrar bloque de pedidos recientes"
"Show/Hide  Recently Ordered block from Sidebar Style - Default.","Mostrar/Ocultar bloque de pedidos recientes en el estilo de barra lateral - Predeterminado."
"Show Category Filter","Mostrar filtro de categoría"
"Filter Button","Botón de filtro"
"Price Filter","Filtro de precio"
"Show Price Slider With Input","Mostrar deslizador de precio con entrada"
"AutoClose Sidebar","Cierre automático de la barra lateral"
"Enable Rating Filter","Habilitar filtro de calificación"
"Rating Filter Name","Nombre del filtro de calificación"
"Rating Filter Display Options","Opciones de visualización del filtro de calificación"
"Rating Filter Position","Posición del filtro de calificación"
"Rating Filter Multiselect","Selección múltiple del filtro de calificación"
"Show Rating Filter Counter","Mostrar contador del filtro de calificación"
"Enable/Disable WeltPixel Layered Navigation.","Habilitar/Deshabilitar navegación por capas de WeltPixel."
"Enable/Disable Ajax Layered Navigation.","Habilitar/Deshabilitar navegación por capas Ajax."
"Enable/Disable Rating Filter.","Habilitar/Deshabilitar filtro de calificación."
"Social Login - Analytics Dashboard","Inicio de sesión social - Panel de análisis"
"Customers Types","Tipos de clientes"
"# Users","N.º de usuarios"
"% Users","% de usuarios"
"# Orders","N.º de pedidos"
"% Orders","% de pedidos"
"# Items","N.º de artículos"
"% Items","% de artículos"
"% Revenue","% de ingresos"
"Load Analytics","Cargar análisis"
"WeltPixel Social Login - General Settings","Configuración general de inicio de sesión social de WeltPixel"
"Enable Social Login","Habilitar inicio de sesión social"
"Enable/Disable WeltPixel Social Login extension.","Habilitar/Deshabilitar la extensión de inicio de sesión social de WeltPixel."
"Enable Recently Viewed Integration","Habilitar integración de productos vistos recientemente"
"Please select a store view to be able to save / preload different setups for each version.","Por favor seleccione una vista de tienda para poder guardar / precargar configuraciones diferentes para cada versión."
"Background color arrows","Color de fondo de las flechas"
"Display alt text as image title","Mostrar el texto alternativo como título de la imagen"
"Sliding direction of thumbnails","Dirección del deslizamiento de las miniaturas"
"Turn on/off on the thumbs navigation sides","Activar/desactivar en los lados de navegación de miniaturas"
"Sliding type of thumbnails","Tipo de deslizamiento de las miniaturas"
"GraphQl Input Limits","Límites de entrada de GraphQl"
"Enable Input Limits","Habilitar límites de entrada"
"Web Api Input Limits","Límites de entrada de la API web"
"Enable Input Limits","Habilitar límites de entrada"
"Default Page Size","Tamaño de página predeterminado"
"Default number of items a paginated search result.","Número predeterminado de elementos en un resultado de búsqueda paginado."
"JWT Authentication","Autenticación JWT"
"Algorithm to sign/encrypt JWTs used for authentication","Algoritmo para firmar/encriptar los JWT utilizados para la autenticación"
"Content encryption algorithm for JWEs","Algoritmo de encriptación de contenido para los JWE"
"Customer JWT Expires In","El JWT del cliente expira en"
"Admin User JWT Expires In","El JWT del usuario administrador expira en"
"Selected algorithm will define JWT type used (JWS or JWE)","El algoritmo seleccionado definirá el tipo de JWT utilizado (JWS o JWE)"
"Encryption algorithm for JWT content to be used when JWE algorithm is selected","Algoritmo de encriptación para el contenido JWT a utilizar cuando se seleccione el algoritmo JWE"
